product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
Batido nutricional / Nutricional Shake,"en:dietary-supplements,en:bodybuilding-supplements,en:groceries,en:supplement","Soya protein isolate (40,8%), cookie crumbs (wheat flour (gluten), rice flour, oat flour (gluten), barley malt flour, sugar, cocoa, corn flour, salt, emulsifier (soya lecithin), fructose, inulin, oat fibre (gluten). polydextrose, soya oil thickeners (quar gum powde, santhan gum, carragenan, pectin), oat bran gluten), milk protein concentrate (1.9 %), flavourings (lactose), calcium citrate, dextrose, potassium phosphate, sodium chloride, anti-caking agent (silicon dioxide), sweeteners (sucralose, acesulfame-K), rapeseed oil, magnesium oxide, ginger root powder, L-ascorbic acid, ferrous fumarate, DL-alpha tocopheryl acetate, liquorice root powder, nicotinamide, papaya powder, zinc oxide, cupric gluconate, retinyl palmitate, D-calcium pantothenate, cholecalciferol, pyridoxine hydrochloride, cyanocobalamin, manganese carbonate, riboflavin, thiamin hydrochloride, ascorbyl palmitate, pteroylmonoglutamic acid, Dl-alpha tocopherol, potassium iodide, sodium selenite, D-biotin. CONTAINS GLUTEN, MILK AND SOYA. SOUTH AFRICA, LTD.",9.0,9.4,39.0
Pan,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas","Pâtes à l'épeautre - Rêve de Neptune - Spelt neptunes dream (500g e) Ingrédients Ingrediënten speltbloem*, tomaat*, spinazie*, biet&quot;, spirulina* farine d'épeautre *, tomates *, épinards *, betteraves *, spiruline *",1.6,0.2,8.3
Abdo slim,,,1.28999996185303,0.800000011920929,23.7999992370605
Mct Oil Powder,es:mct,"Austin, TX 78704 2311 S 5th St. #113 Sodium Medium Chain Triglycerides 7g sed Ga a 2000 calorie diet. &quot;Percent Dailyalues a &quot;Daily Value not estaplished. CER INGREDIENTS: Inulin, sodium cascinate, silicon dioxide, sunflower lecithin Contains coconut, milk Distributed by: Opportuniteas Inc. portuniteas.com",70.0,0.0,0.0
Bio Volleipulver,,"Organic Flaxseed Oil, Organic Coconut Oil, Organic Avocado Oil, Organic Sunflower Oil, Organic Pumpkin Seed Oil, Organic Sacha Inchi Seed Oil, Organic Extra Virgin Olive Oil, Organic Sesame Seed Oil, Organic Black Cumin Seed Oil, Organic Evening Primrose Oil, Organic Sea Buckthorn Berry Oil, Organic Fenugreek Seed Extract, Organic Turmeric Root Extract, Organic Rosemary Leaf Extract, Organic Clove Bud Extract, Organic Thyme Leaf Extract, Organic Oregano Leaf Extract, Organic Ginger Root Extract, Organic Black Pepper Fruit Extract, Organic Cardamom Seed Extract, Organic Cumin Seed Extract, Organic Coriander Seed Extract, Organic Fennel Seed Extract, Organic Fenugreek Seed Extract, Organic Turmeric Root Extract, Organic Rosemary Leaf Extract, Organic Clove Bud Extract, Organic Thyme Leaf Extract, Organic Oregano Leaf Extract, Organic Ginger Root Extract, Organic Black Pepper Fruit Extract, Organic Cardamom Seed Extract, Organic Cumin Seed Extract, Organic Coriander Seed Extract, Organic Fennel Seed Extract",7.0,1.0,77.0
Paradies creme nougat,,"Vitamin D3, Vitamin K2, Microcrystalline cellulose, Modified cellulose capsule, Magnesium stearate, Silicon dioxide",3.58695644444444,15.000001,5.76087
Vegan Protein (Forest Fruit Flavoured),"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:rices,en:rices-for-risotto",,7.8,0.5,74.0
herbalife boisson instantanée thé,fr:poudre,"maltodextrine,extrait de feuilles de thé vert 17% ,extrait de feuille de thé orange pekoe 4,7% , arôme, caféine en poudre , édulcorant ( glucoside de stéviol issu de stevia) , poudre de fleur d'hibiscus ( 0,06%) , extrait de graine de cardamole(0,06%)",0.0,5.9,8.7
mélange vegan pour boisson proteinee,fr:melange-vegan-pour-boisson-proteinee,Isolat de proteïnes de soja,9.3,0.8,5.4
BIO CHLORELLA,,Bie Chlorella Biotiva Für Dich Tabletten / Tablets / Compresse / Comprimés Biotiva® Produkte werden unter strengen Qualitätskontrollen verarbeitet und schonend in Manufakturarbeit abgefüllt. So können wir die bestmögliche Qualität garantieren. / I prodotti Biotiva® vengono lavorati con severi controlli di qualità e accuratamente imbottigliati nei lavori di produzione. Quindi possiamo garantire la migliore qualità possibile. / Les produits Biotiva® sont soumis à des contrôles de qua stricts et soigneusement mis en bouteille lors des travaux de fabrication. Nous pouvo donc garantir la meilleure qualité possible. Inhalt: Chlorellapulver (gepresst)* / Chlorella powder (pressed)* / Polvere di clorella (pressata)*/ Poudre de chlorella (pressée)* *aus kontrolliert biologischem Anbau/ *certified organic/ *certificato biologico/*certifié biologique Verzehrempfehlung: / Daily dose/ Consigliato / Suggestion Bis zu 10 Tabletten täglich / Up to tablets daily / Fino a 10 compresse giorno / Jusqu'à 10 comprimés pa jour lährwerte / nutrition information Pro /per nergie / energy / energia / énergie 1270k,6.7,3.7,57.7
